Movie Name,Movie ID,Movie Year,Director,Cinematographer,Cast,Aspect ratio,Poster,Stills,Stills compressed
Barry Lyndon,3175,,,,,1.65/1,,https://i.imgur.com/GgheFnS.png|https://i.imgur.com/bS8D9FB.png|https://i.imgur.com/HXtScbO.png|https://i.imgur.com/P8VvCDR.png|https://i.imgur.com/tVhLTHZ.png|https://i.imgur.com/W9UTjKi.png|https://i.imgur.com/ERpSWZO.png|https://i.imgur.com/IzgcPEk.png|https://i.imgur.com/68wGdEw.png|https://i.imgur.com/F6C7NWD.png|https://i.imgur.com/6nPVKLl.png|https://i.imgur.com/I4CQuL1.png|https://i.imgur.com/U81CKgC.png|https://i.imgur.com/WEpN3TZ.png|https://i.imgur.com/YbIkgzR.png|https://i.imgur.com/K56SDo7.png|https://i.imgur.com/tP6ko0k.png|https://i.imgur.com/pFHijnt.png|https://i.imgur.com/qSwieCj.png|https://i.imgur.com/Eq1IUe1.png|https://i.imgur.com/RuydiY1.png|https://i.imgur.com/J9pX1bm.png|https://i.imgur.com/g4zOhZF.png|https://i.imgur.com/TtJHPOX.png,https://i.imgur.com/uC8mH5c.jpeg|https://i.imgur.com/jBuxlJO.jpeg|https://i.imgur.com/9smArYg.jpeg|https://i.imgur.com/bfqugO1.jpeg|https://i.imgur.com/KGYdAH7.jpeg|https://i.imgur.com/KHi7HXF.jpeg|https://i.imgur.com/Fc79k5M.jpeg|https://i.imgur.com/hNl111h.jpeg|https://i.imgur.com/hhNVTfb.jpeg|https://i.imgur.com/F22KUEU.jpeg|https://i.imgur.com/oJEkhPy.jpeg|https://i.imgur.com/T38G5Yp.jpeg|https://i.imgur.com/yUxaGiw.jpeg|https://i.imgur.com/rbOdiOZ.jpeg|https://i.imgur.com/fUf4lpa.jpeg|https://i.imgur.com/AH3CigC.jpeg|https://i.imgur.com/8qgXnYN.jpeg|https://i.imgur.com/0nooz3f.jpeg|https://i.imgur.com/8iAkhKo.jpeg|https://i.imgur.com/JPZaEBg.jpeg|https://i.imgur.com/ySn5PCE.jpeg|https://i.imgur.com/69dk8BL.jpeg|https://i.imgur.com/mpqxBgo.jpeg|https://i.imgur.com/g2OnEBV.jpeg,
Dune Part Two,693134,,,,,2.38.5/1,https://i.imgur.com/W8YNvXo.jpeg,https://i.imgur.com/heHKgup.jpeg|https://i.imgur.com/Gg8nUHQ.jpeg|https://i.imgur.com/9Rv8Ckb.jpeg|https://i.imgur.com/tIFghZs.jpeg|https://i.imgur.com/vb9JQ4K.jpeg|https://i.imgur.com/XOTaeop.jpeg|https://i.imgur.com/zZg28mZ.jpeg|https://i.imgur.com/l2i415t.jpeg|https://i.imgur.com/Lr9Yd3k.jpeg|https://i.imgur.com/fRSC3pT.jpeg|https://i.imgur.com/OJfVGYe.jpeg|https://i.imgur.com/kXAZWbS.jpeg|https://i.imgur.com/4yR2sZa.jpeg|https://i.imgur.com/rjDw2Q1.jpeg|https://i.imgur.com/9uPYtvg.jpeg|https://i.imgur.com/5F1gfCI.jpeg,https://i.imgur.com/CmBPadN.jpeg|https://i.imgur.com/HXS7HDR.jpeg|https://i.imgur.com/CdzTivZ.jpeg|https://i.imgur.com/80NDJzI.jpeg|https://i.imgur.com/uzSTXcx.jpeg|https://i.imgur.com/sg9ZPkQ.jpeg|https://i.imgur.com/WnRVWBZ.jpeg|https://i.imgur.com/4sJX5oL.jpeg|https://i.imgur.com/P9yehOC.jpeg|https://i.imgur.com/H2RPvam.jpeg|https://i.imgur.com/pyaQKjl.jpeg|https://i.imgur.com/VyF0xBN.jpeg|https://i.imgur.com/HqjDDrJ.jpeg|https://i.imgur.com/VvOJsVI.jpeg|https://i.imgur.com/xGnbxpZ.jpeg|https://i.imgur.com/ukfL4He.jpeg
Dune,438631,,,,,2.39/1,https://i.imgur.com/vwEtina.jpeg,https://i.imgur.com/RmGHPzZ.jpeg|https://i.imgur.com/nrkeW2S.jpeg|https://i.imgur.com/inyPEUV.jpeg|https://i.imgur.com/yOEtlo1.jpeg|https://i.imgur.com/bzNntvF.jpeg|https://i.imgur.com/0iydE5T.jpeg|https://i.imgur.com/jBKksL0.jpeg|https://i.imgur.com/cC6LLmO.jpeg|https://i.imgur.com/1rMwZk1.jpeg|https://i.imgur.com/mBpWCBU.jpeg|https://i.imgur.com/6jQNf6Q.jpeg|https://i.imgur.com/6ByQmFr.jpeg|https://i.imgur.com/o6h3Hvl.jpeg|https://i.imgur.com/ewGgybu.jpeg|https://i.imgur.com/bFEsRjR.jpeg|https://i.imgur.com/rtNN3g9.png,https://i.imgur.com/XLuVpzf.jpeg|https://i.imgur.com/imkFjrC.jpeg|https://i.imgur.com/rCZc3T8.jpeg|https://i.imgur.com/lBwJuc4.jpeg|https://i.imgur.com/3xHH7fH.jpeg|https://i.imgur.com/SpLc1Mr.jpeg|https://i.imgur.com/v5XWI2p.jpeg|https://i.imgur.com/AEWjxC0.jpeg|https://i.imgur.com/0P1a2S2.jpeg|https://i.imgur.com/iEHD7Ly.jpeg|https://i.imgur.com/hly2M1r.jpeg|https://i.imgur.com/LDJj9nf.jpeg|https://i.imgur.com/vf78Kzy.jpeg|https://i.imgur.com/lZJOEMr.jpeg|https://i.imgur.com/hnuAa5g.jpeg|https://i.imgur.com/IdXwxXh.jpeg,
Castle of Sand,29268,,,,,,https://i.imgur.com/DeRzQDb.jpeg,https://i.imgur.com/qZAuweC.png|https://i.imgur.com/PgDsrEK.png|https://i.imgur.com/Ycz1aTI.png|https://i.imgur.com/uI5AZsa.png|https://i.imgur.com/4noOVS8.png|https://i.imgur.com/sVc21Je.png|https://i.imgur.com/2hfIVxP.png|https://i.imgur.com/3rxCADl.png|https://i.imgur.com/z3aKQ0p.png|https://i.imgur.com/L6m0SNw.png|https://i.imgur.com/9Ktw3pU.png|https://i.imgur.com/7lQHgIh.png|https://i.imgur.com/D3YVDgF.png|https://i.imgur.com/CoyIg38.png|https://i.imgur.com/uFuCyTY.png|https://i.imgur.com/1ZJUSkc.png,https://i.imgur.com/kDw7YoY.jpeg|https://i.imgur.com/Fryci0T.jpeg|https://i.imgur.com/RmsphXU.jpeg|https://i.imgur.com/DLYup8C.jpeg|https://i.imgur.com/c2izwZt.jpeg|https://i.imgur.com/OCQJJ77.jpeg|https://i.imgur.com/0GV2Mnk.jpeg|https://i.imgur.com/D0Amtsi.jpeg|https://i.imgur.com/uORs03H.jpeg|https://i.imgur.com/28NwQoV.jpeg|https://i.imgur.com/9ImIoib.jpeg|https://i.imgur.com/NZcDL6j.jpeg|https://i.imgur.com/zDSIDF6.jpeg|https://i.imgur.com/m8xJkOq.jpeg|https://i.imgur.com/x8I8c82.jpeg|https://i.imgur.com/a65Eqrq.jpeg,
Phantom Thread,400617,,,,,1.85/1,https://i.imgur.com/LfTZSO4.jpeg,https://i.imgur.com/9bSIdqP.jpeg|https://i.imgur.com/JUSp2fT.jpeg|https://i.imgur.com/mjAO66m.jpeg|https://i.imgur.com/ecpUCWc.jpeg|https://i.imgur.com/vwj1yud.jpeg|https://i.imgur.com/D3iQtgm.jpeg|https://i.imgur.com/4bha6Kf.jpeg|https://i.imgur.com/TaVOrz4.jpeg|https://i.imgur.com/l3Einpx.jpeg|https://i.imgur.com/4UFeUzr.jpeg|https://i.imgur.com/z5ZiJK7.jpeg|https://i.imgur.com/mZMG72H.jpeg|https://i.imgur.com/OGumpJc.jpeg|https://i.imgur.com/546qt8j.jpeg|https://i.imgur.com/CcGKD0e.jpeg|https://i.imgur.com/prUXrZz.jpeg,https://i.imgur.com/vfEoMU6.jpeg|https://i.imgur.com/9Hd2Cky.jpeg|https://i.imgur.com/zFtoiCN.jpeg|https://i.imgur.com/GxmZIQr.jpeg|https://i.imgur.com/fBskUuA.jpeg|https://i.imgur.com/DiLWTtq.jpeg|https://i.imgur.com/iPXqefn.jpeg|https://i.imgur.com/CcvlAb1.jpeg|https://i.imgur.com/dd3XQos.jpeg|https://i.imgur.com/DVhA5N9.jpeg|https://i.imgur.com/ftabA8O.jpeg|https://i.imgur.com/M9GmPhr.jpeg|https://i.imgur.com/DnVklzS.jpeg|https://i.imgur.com/UNHKACU.jpeg|https://i.imgur.com/OTYOfte.jpeg|https://i.imgur.com/zs0VPRC.jpeg,
In the mood for Love,843,,,,,1.66/1,https://i.imgur.com/VLIh4fN.jpeg,https://i.imgur.com/x65aGs0.png|https://i.imgur.com/8A4NQKv.png|https://i.imgur.com/YSi2hIF.png|https://i.imgur.com/0yWunXU.png|https://i.imgur.com/jILABhX.png|https://i.imgur.com/iCcgGXo.png|https://i.imgur.com/51epOwR.png|https://i.imgur.com/WiL7KYn.png|https://i.imgur.com/0ksC7GS.png|https://i.imgur.com/SADhzc1.png|https://i.imgur.com/D8H6WuV.png|https://i.imgur.com/JLwOLyA.png|https://i.imgur.com/SxhEv1D.png|https://i.imgur.com/YHkmy7E.png|https://i.imgur.com/3DpeZ9N.png|https://i.imgur.com/3XEGrcO.png|https://i.imgur.com/3qNymXP.png|https://i.imgur.com/kWpG0OT.png|https://i.imgur.com/2fBWW4Y.png|https://i.imgur.com/6saX2Wo.png|https://i.imgur.com/PM93rOf.png|https://i.imgur.com/u1icPC3.png|https://i.imgur.com/dV5sdke.png|https://i.imgur.com/5SxrYvs.png|https://i.imgur.com/5QyBMD7.png|https://i.imgur.com/nhnlNdA.png|https://i.imgur.com/4i38vrz.png|https://i.imgur.com/wD4rwB3.png|https://i.imgur.com/7tw5YwM.png|https://i.imgur.com/BkHndDH.png|https://i.imgur.com/302HIjB.png|https://i.imgur.com/BoqUDdO.png,https://i.imgur.com/e4W4yVw.jpeg|https://i.imgur.com/x4TQ9fR.jpeg|https://i.imgur.com/Upd5c2d.jpeg|https://i.imgur.com/unrPoeF.jpeg|https://i.imgur.com/WH9InjG.jpeg|https://i.imgur.com/t9kMV89.jpeg|https://i.imgur.com/fHAHXpH.jpeg|https://i.imgur.com/H0q15Iv.jpeg|https://i.imgur.com/Q2lrcuH.jpeg|https://i.imgur.com/jwhmgQA.jpeg|https://i.imgur.com/O9ZmbYy.jpeg|https://i.imgur.com/IjAE6cx.jpeg|https://i.imgur.com/hj8F5ph.jpeg|https://i.imgur.com/rUvucsd.jpeg|https://i.imgur.com/fSm2quO.jpeg|https://i.imgur.com/JcWZoKx.jpeg|https://i.imgur.com/rr0FkOI.jpeg|https://i.imgur.com/gruW79s.jpeg|https://i.imgur.com/5ZPsZ6b.jpeg|https://i.imgur.com/LDabdTL.jpeg|https://i.imgur.com/6W8psJq.jpeg|https://i.imgur.com/BEifI1K.jpeg|https://i.imgur.com/EiIQcB8.jpeg|https://i.imgur.com/KRDshho.jpeg|https://i.imgur.com/fGneXv1.jpeg|https://i.imgur.com/NYBF7nY.jpeg|https://i.imgur.com/LuhrWjt.jpeg|https://i.imgur.com/es5n3dZ.jpeg|https://i.imgur.com/eaFUITR.jpeg|https://i.imgur.com/j5aKSdF.jpeg|https://i.imgur.com/uDBJak4.jpeg|https://i.imgur.com/2eRUnA1.jpeg,
Conclave,974576,,,,,,,
The Batman,414906,,,,,2.39/1,https://i.imgur.com/sAkspK7.jpeg,https://i.imgur.com/KyfV0b7.jpeg|https://i.imgur.com/96eh2sI.png|https://i.imgur.com/FioC7SQ.png|https://i.imgur.com/3gf9KfL.png|https://i.imgur.com/htX4Grj.jpeg|https://i.imgur.com/JBBC0dn.jpeg|https://i.imgur.com/pDLrwWv.jpeg|https://i.imgur.com/vlNy7R8.png|https://i.imgur.com/HZGHzV1.png|https://i.imgur.com/I4kJhXH.jpeg|https://i.imgur.com/v02EGW8.jpeg|https://i.imgur.com/RDhWWIS.jpeg|https://i.imgur.com/1CY9xQy.png|https://i.imgur.com/MdjA072.jpeg|https://i.imgur.com/PNU3RSe.png|https://i.imgur.com/FTD8jxg.jpeg|https://i.imgur.com/Fw0rbOs.jpeg|https://i.imgur.com/KBExFXo.jpeg|https://i.imgur.com/EBAfai7.jpeg|https://i.imgur.com/oNWVeSc.jpeg|https://i.imgur.com/OIHDywQ.png|https://i.imgur.com/bMs0WxO.jpeg|https://i.imgur.com/O0SwoXF.png|https://i.imgur.com/AEHv0uX.jpeg|https://i.imgur.com/fgRb0oE.jpeg|https://i.imgur.com/kX49EGQ.png|https://i.imgur.com/fUgGwdN.jpeg|https://i.imgur.com/f3fPoyY.jpeg|https://i.imgur.com/aWN8vnW.png|https://i.imgur.com/y3BDLWV.jpeg|https://i.imgur.com/knDM5uD.png|https://i.imgur.com/wFkfKi9.jpeg,https://i.imgur.com/Ua05aIW.jpeg|https://i.imgur.com/TE5DuYS.jpeg|https://i.imgur.com/WsIchLg.jpeg|https://i.imgur.com/THZ5NnS.jpeg|https://i.imgur.com/nk5XTOz.jpeg|https://i.imgur.com/Y4SD1bT.jpeg|https://i.imgur.com/d56AoTY.jpeg|https://i.imgur.com/AgcHlPj.jpeg|https://i.imgur.com/z8KRzhn.jpeg|https://i.imgur.com/Zsg6ITh.jpeg|https://i.imgur.com/aBmvNHQ.jpeg|https://i.imgur.com/7JRUKYa.jpeg|https://i.imgur.com/XoK5i2G.jpeg|https://i.imgur.com/txJBnOj.jpeg|https://i.imgur.com/g4Oeqwu.jpeg|https://i.imgur.com/USCoHVz.jpeg|https://i.imgur.com/8sNKORX.jpeg|https://i.imgur.com/k5j13kG.jpeg|https://i.imgur.com/QyXpIBN.jpeg|https://i.imgur.com/LpIu2T8.jpeg|https://i.imgur.com/5l2vLhv.jpeg|https://i.imgur.com/1p39cX2.jpeg|https://i.imgur.com/j6ft5Zm.jpeg|https://i.imgur.com/gSoFfrw.jpeg|https://i.imgur.com/JIBTrax.jpeg|https://i.imgur.com/Y8XCBu3.jpeg|https://i.imgur.com/v818TIe.jpeg|https://i.imgur.com/DtV10Ja.jpeg|https://i.imgur.com/6Ei5FJg.jpeg|https://i.imgur.com/eapNFYF.jpeg|https://i.imgur.com/tlXe5Se.jpeg|https://i.imgur.com/56Cfhdt.jpeg,
Sinners,1233413,,,,,1.78/1,https://i.imgur.com/09Trzwn.jpeg,https://i.imgur.com/1HjN7vC.jpeg|https://i.imgur.com/vR4RXTr.jpeg|https://i.imgur.com/a9q1Wf7.jpeg|https://i.imgur.com/jkw8EXJ.png|https://i.imgur.com/MRCjbmr.png|https://i.imgur.com/o4YJ66e.png|https://i.imgur.com/8Wyzu3D.jpeg|https://i.imgur.com/vv7yyhV.png|https://i.imgur.com/LRZyujx.png|https://i.imgur.com/hm94mYf.png|https://i.imgur.com/8iVeVKy.jpeg|https://i.imgur.com/olUeJoR.png|https://i.imgur.com/1WzrzHP.png|https://i.imgur.com/fGFtYWW.png|https://i.imgur.com/S0j1T1b.jpeg|https://i.imgur.com/N0VZ8OV.png|https://i.imgur.com/n0KQwOF.png|https://i.imgur.com/Y8srLGz.png|https://i.imgur.com/pOjOj5B.png|https://i.imgur.com/vnijGKB.png|https://i.imgur.com/NIxECCK.png|https://i.imgur.com/waysWdz.png|https://i.imgur.com/kW0dUTm.jpeg|https://i.imgur.com/8jUOQcq.png|https://i.imgur.com/uB9FFxC.png|https://i.imgur.com/FhoAs3T.jpeg|https://i.imgur.com/bME1kv6.jpeg|https://i.imgur.com/l9hqjdI.jpeg|https://i.imgur.com/lYQDNQu.jpeg|https://i.imgur.com/wgtlSyg.jpeg|https://i.imgur.com/Zkxyh7z.jpeg|https://i.imgur.com/6hqLVcl.png,https://i.imgur.com/iZWTNmy.jpeg|https://i.imgur.com/02Sbpch.jpeg|https://i.imgur.com/pWKpuDG.jpeg|https://i.imgur.com/D0c46K6.jpeg|https://i.imgur.com/ZSDPCTP.jpeg|https://i.imgur.com/2VLVhVM.jpeg|https://i.imgur.com/vgOz244.jpeg|https://i.imgur.com/LP769JL.jpeg|https://i.imgur.com/ZKVdeeT.jpeg|https://i.imgur.com/N6hOmfL.jpeg|https://i.imgur.com/gqWEV3J.jpeg|https://i.imgur.com/cIbfboe.jpeg|https://i.imgur.com/Q7EXm0U.jpeg|https://i.imgur.com/7jrh0f7.jpeg|https://i.imgur.com/IJ8Jjhs.jpeg|https://i.imgur.com/dzdZ1MN.jpeg|https://i.imgur.com/8bJCsXz.jpeg|https://i.imgur.com/aDXwfk0.jpeg|https://i.imgur.com/nFzZXsD.jpeg|https://i.imgur.com/n2utlxu.jpeg|https://i.imgur.com/yy1bdqd.jpeg|https://i.imgur.com/voYrzNr.jpeg|https://i.imgur.com/rgs5MO9.jpeg|https://i.imgur.com/ApuTES7.jpeg|https://i.imgur.com/CLkzw83.jpeg|https://i.imgur.com/BcEbzlY.jpeg|https://i.imgur.com/AVlpNq7.jpeg|https://i.imgur.com/v4FDenp.jpeg|https://i.imgur.com/q0uD4Dv.jpeg|https://i.imgur.com/Ck9O0sP.jpeg|https://i.imgur.com/IkNyuPo.jpeg|https://i.imgur.com/nl85G2t.jpeg,
The Death of Stalin,402897,,,,,1.85/1,https://i.imgur.com/vgUGEQp.jpeg,https://i.imgur.com/MkRBkTw.png|https://i.imgur.com/ORjpCQz.png|https://i.imgur.com/zQeqkGH.png|https://i.imgur.com/sDXVqH7.png|https://i.imgur.com/hvX7wSc.png|https://i.imgur.com/bYYksxn.png|https://i.imgur.com/04vCDgb.png|https://i.imgur.com/3FKCRix.png|https://i.imgur.com/3CaIMNw.png|https://i.imgur.com/Mey6AYO.png|https://i.imgur.com/pdwws1F.png|https://i.imgur.com/bxxeSKF.png|https://i.imgur.com/om8OpyP.png|https://i.imgur.com/6qBOmyb.png|https://i.imgur.com/JnULEmx.png|https://i.imgur.com/ClmKt5A.png|https://i.imgur.com/tTKZ9Xc.png|https://i.imgur.com/w6Td4VX.png|https://i.imgur.com/6lEPW79.png|https://i.imgur.com/ibQjnVf.png,https://i.imgur.com/OkTSqu3.jpeg|https://i.imgur.com/NmlbPU1.jpeg|https://i.imgur.com/vN5A8RX.jpeg|https://i.imgur.com/k3zKAhH.jpeg|https://i.imgur.com/iGhN9zi.jpeg|https://i.imgur.com/rnKVH3r.jpeg|https://i.imgur.com/jzepSDF.jpeg|https://i.imgur.com/Nqrz2e6.jpeg|https://i.imgur.com/8nMTQSc.jpeg|https://i.imgur.com/Nh2jZXs.jpeg|https://i.imgur.com/9m4KRlp.jpeg|https://i.imgur.com/Z9ttAb3.jpeg|https://i.imgur.com/pznxsT5.jpeg|https://i.imgur.com/FS4kqAK.jpeg|https://i.imgur.com/qlP1SWH.jpeg|https://i.imgur.com/uaM1TJT.jpeg|https://i.imgur.com/0OuYobE.jpeg|https://i.imgur.com/gBcOPYn.jpeg|https://i.imgur.com/Un69eIM.jpeg|https://i.imgur.com/0GYtFbJ.jpeg,
